"Time Interval","Day","Out Area","In Area","Capacity (MW)"
"01/01/2020 - 01/01/2021","Thursday 02/01/2020","BZN|FR","BZN|BE","2000.0"
"01/01/2020 - 01/01/2021","Thursday 02/01/2020","BZN|FR","BZN|CH","2615.0"
"01/01/2020 - 01/01/2021","Thursday 02/01/2020","BZN|FR","BZN|ES","3000.0"
"01/01/2020 - 01/01/2021","Thursday 02/01/2020","BZN|FR","BZN|GB","2000.0"
"01/01/2020 - 01/01/2021","Thursday 02/01/2020","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2020 - 01/01/2021","Thursday 02/01/2020","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2020 - 01/01/2021","Thursday 02/01/2020","BZN|GB","BZN|FR","2000.0"
"01/01/2020 - 01/01/2021","Thursday 02/01/2020","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Thursday 02/01/2020","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Friday 03/01/2020","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Friday 03/01/2020","BZN|IT-North","BZN|FR","1160.0"
"01/01/2020 - 01/01/2021","Friday 03/01/2020","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Friday 03/01/2020","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2020 - 01/01/2021","Friday 03/01/2020","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Friday 03/01/2020","BZN|BE","BZN|FR","800.0"
"01/01/2020 - 01/01/2021","Friday 03/01/2020","BZN|CH","BZN|FR","1200.0"
"01/01/2020 - 01/01/2021","Friday 03/01/2020","BZN|ES","BZN|FR","2400.0"
"01/01/2020 - 01/01/2021","Friday 03/01/2020","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2020 - 01/01/2021","Friday 03/01/2020","BZN|FR","BZN|IT-North","1572.0"
"01/01/2020 - 01/01/2021","Friday 03/01/2020","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2020 - 01/01/2021","Friday 03/01/2020","BZN|FR","BZN|DE-LU","1500.0"
"01/01/2020 - 01/01/2021","Friday 03/01/2020","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2020 - 01/01/2021","Friday 03/01/2020","BZN|FR","BZN|BE","2000.0"
"01/01/2020 - 01/01/2021","Friday 03/01/2020","BZN|FR","BZN|CH","2615.0"
"01/01/2020 - 01/01/2021","Friday 03/01/2020","BZN|FR","BZN|ES","3000.0"
"01/01/2020 - 01/01/2021","Friday 03/01/2020","BZN|FR","BZN|GB","2000.0"
"01/01/2020 - 01/01/2021","Friday 03/01/2020","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2020 - 01/01/2021","Friday 03/01/2020","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2020 - 01/01/2021","Friday 03/01/2020","BZN|GB","BZN|FR","2000.0"
"01/01/2020 - 01/01/2021","Friday 03/01/2020","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Friday 03/01/2020","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Saturday 04/01/2020","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Saturday 04/01/2020","BZN|IT-North","BZN|FR","1160.0"
"01/01/2020 - 01/01/2021","Saturday 04/01/2020","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Saturday 04/01/2020","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2020 - 01/01/2021","Saturday 04/01/2020","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Saturday 04/01/2020","BZN|BE","BZN|FR","800.0"
"01/01/2020 - 01/01/2021","Saturday 04/01/2020","BZN|CH","BZN|FR","1700.0"
"01/01/2020 - 01/01/2021","Saturday 04/01/2020","BZN|ES","BZN|FR","2400.0"
"01/01/2020 - 01/01/2021","Saturday 04/01/2020","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2020 - 01/01/2021","Saturday 04/01/2020","BZN|FR","BZN|IT-North","1572.0"
"01/01/2020 - 01/01/2021","Saturday 04/01/2020","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2020 - 01/01/2021","Saturday 04/01/2020","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2020 - 01/01/2021","Saturday 04/01/2020","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2020 - 01/01/2021","Saturday 04/01/2020","BZN|FR","BZN|BE","2100.0"
"01/01/2020 - 01/01/2021","Saturday 04/01/2020","BZN|FR","BZN|CH","3200.0"
"01/01/2020 - 01/01/2021","Saturday 04/01/2020","BZN|FR","BZN|ES","3300.0"
"01/01/2020 - 01/01/2021","Saturday 04/01/2020","BZN|FR","BZN|GB","2000.0"
"01/01/2020 - 01/01/2021","Saturday 04/01/2020","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2020 - 01/01/2021","Saturday 04/01/2020","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2020 - 01/01/2021","Saturday 04/01/2020","BZN|GB","BZN|FR","2000.0"
"01/01/2020 - 01/01/2021","Saturday 04/01/2020","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Saturday 04/01/2020","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Sunday 05/01/2020","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Sunday 05/01/2020","BZN|IT-North","BZN|FR","995.0"
"01/01/2020 - 01/01/2021","Sunday 05/01/2020","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Sunday 05/01/2020","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2020 - 01/01/2021","Sunday 05/01/2020","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Sunday 05/01/2020","BZN|BE","BZN|FR","800.0"
"01/01/2020 - 01/01/2021","Sunday 05/01/2020","BZN|CH","BZN|FR","1700.0"
"01/01/2020 - 01/01/2021","Sunday 05/01/2020","BZN|ES","BZN|FR","2400.0"
"01/01/2020 - 01/01/2021","Sunday 05/01/2020","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2020 - 01/01/2021","Sunday 05/01/2020","BZN|FR","BZN|IT-North","2201.0"
"01/01/2020 - 01/01/2021","Sunday 05/01/2020","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2020 - 01/01/2021","Sunday 05/01/2020","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2020 - 01/01/2021","Sunday 05/01/2020","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2020 - 01/01/2021","Sunday 05/01/2020","BZN|FR","BZN|BE","2100.0"
"01/01/2020 - 01/01/2021","Sunday 05/01/2020","BZN|FR","BZN|CH","3200.0"
"01/01/2020 - 01/01/2021","Sunday 05/01/2020","BZN|FR","BZN|ES","3300.0"
"01/01/2020 - 01/01/2021","Sunday 05/01/2020","BZN|FR","BZN|GB","1480.0"
"01/01/2020 - 01/01/2021","Sunday 05/01/2020","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2020 - 01/01/2021","Sunday 05/01/2020","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2020 - 01/01/2021","Sunday 05/01/2020","BZN|GB","BZN|FR","1120.0"
"01/01/2020 - 01/01/2021","Sunday 05/01/2020","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Sunday 05/01/2020","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Monday 06/01/2020","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Monday 06/01/2020","BZN|IT-North","BZN|FR","995.0"
"01/01/2020 - 01/01/2021","Monday 06/01/2020","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Monday 06/01/2020","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2020 - 01/01/2021","Monday 06/01/2020","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Monday 06/01/2020","BZN|BE","BZN|FR","800.0"
"01/01/2020 - 01/01/2021","Monday 06/01/2020","BZN|CH","BZN|FR","1700.0"
"01/01/2020 - 01/01/2021","Monday 06/01/2020","BZN|ES","BZN|FR","2400.0"
"01/01/2020 - 01/01/2021","Monday 06/01/2020","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2020 - 01/01/2021","Monday 06/01/2020","BZN|FR","BZN|IT-North","2995.0"
"01/01/2020 - 01/01/2021","Monday 06/01/2020","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2020 - 01/01/2021","Monday 06/01/2020","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2020 - 01/01/2021","Monday 06/01/2020","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2020 - 01/01/2021","Monday 06/01/2020","BZN|FR","BZN|BE","2100.0"
"01/01/2020 - 01/01/2021","Monday 06/01/2020","BZN|FR","BZN|CH","3200.0"
"01/01/2020 - 01/01/2021","Monday 06/01/2020","BZN|FR","BZN|ES","3300.0"
"01/01/2020 - 01/01/2021","Monday 06/01/2020","BZN|FR","BZN|GB","2000.0"
"01/01/2020 - 01/01/2021","Monday 06/01/2020","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2020 - 01/01/2021","Monday 06/01/2020","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2020 - 01/01/2021","Monday 06/01/2020","BZN|GB","BZN|FR","2000.0"
"01/01/2020 - 01/01/2021","Monday 06/01/2020","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Monday 06/01/2020","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Tuesday 07/01/2020","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Tuesday 07/01/2020","BZN|IT-North","BZN|FR","995.0"
"01/01/2020 - 01/01/2021","Tuesday 07/01/2020","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Tuesday 07/01/2020","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2020 - 01/01/2021","Tuesday 07/01/2020","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Tuesday 07/01/2020","BZN|BE","BZN|FR","800.0"
"01/01/2020 - 01/01/2021","Tuesday 07/01/2020","BZN|CH","BZN|FR","1700.0"
"01/01/2020 - 01/01/2021","Tuesday 07/01/2020","BZN|ES","BZN|FR","2400.0"
"01/01/2020 - 01/01/2021","Tuesday 07/01/2020","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2020 - 01/01/2021","Tuesday 07/01/2020","BZN|FR","BZN|IT-North","2995.0"
"01/01/2020 - 01/01/2021","Tuesday 07/01/2020","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2020 - 01/01/2021","Tuesday 07/01/2020","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2020 - 01/01/2021","Tuesday 07/01/2020","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2020 - 01/01/2021","Tuesday 07/01/2020","BZN|FR","BZN|BE","2100.0"
"01/01/2020 - 01/01/2021","Tuesday 07/01/2020","BZN|FR","BZN|CH","3200.0"
"01/01/2020 - 01/01/2021","Tuesday 07/01/2020","BZN|FR","BZN|ES","3300.0"
"01/01/2020 - 01/01/2021","Tuesday 07/01/2020","BZN|FR","BZN|GB","2000.0"
"01/01/2020 - 01/01/2021","Tuesday 07/01/2020","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2020 - 01/01/2021","Tuesday 07/01/2020","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2020 - 01/01/2021","Tuesday 07/01/2020","BZN|GB","BZN|FR","2000.0"
"01/01/2020 - 01/01/2021","Tuesday 07/01/2020","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Tuesday 07/01/2020","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Wednesday 08/01/2020","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Wednesday 08/01/2020","BZN|IT-North","BZN|FR","995.0"
"01/01/2020 - 01/01/2021","Wednesday 08/01/2020","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Wednesday 08/01/2020","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2020 - 01/01/2021","Wednesday 08/01/2020","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Wednesday 08/01/2020","BZN|BE","BZN|FR","800.0"
"01/01/2020 - 01/01/2021","Wednesday 08/01/2020","BZN|CH","BZN|FR","1700.0"
"01/01/2020 - 01/01/2021","Wednesday 08/01/2020","BZN|ES","BZN|FR","2400.0"
"01/01/2020 - 01/01/2021","Wednesday 08/01/2020","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2020 - 01/01/2021","Wednesday 08/01/2020","BZN|FR","BZN|IT-North","2995.0"
"01/01/2020 - 01/01/2021","Wednesday 08/01/2020","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2020 - 01/01/2021","Wednesday 08/01/2020","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2020 - 01/01/2021","Wednesday 08/01/2020","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2020 - 01/01/2021","Wednesday 08/01/2020","BZN|FR","BZN|BE","2100.0"
"01/01/2020 - 01/01/2021","Wednesday 08/01/2020","BZN|FR","BZN|CH","3200.0"
"01/01/2020 - 01/01/2021","Wednesday 08/01/2020","BZN|FR","BZN|ES","3300.0"
"01/01/2020 - 01/01/2021","Wednesday 08/01/2020","BZN|FR","BZN|GB","2000.0"
"01/01/2020 - 01/01/2021","Wednesday 08/01/2020","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2020 - 01/01/2021","Wednesday 08/01/2020","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2020 - 01/01/2021","Wednesday 08/01/2020","BZN|GB","BZN|FR","2000.0"
"01/01/2020 - 01/01/2021","Wednesday 08/01/2020","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Wednesday 08/01/2020","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Thursday 09/01/2020","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Thursday 09/01/2020","BZN|IT-North","BZN|FR","995.0"
"01/01/2020 - 01/01/2021","Thursday 09/01/2020","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Thursday 09/01/2020","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2020 - 01/01/2021","Thursday 09/01/2020","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Thursday 09/01/2020","BZN|BE","BZN|FR","800.0"
"01/01/2020 - 01/01/2021","Thursday 09/01/2020","BZN|CH","BZN|FR","1200.0"
"01/01/2020 - 01/01/2021","Thursday 09/01/2020","BZN|ES","BZN|FR","2400.0"
"01/01/2020 - 01/01/2021","Thursday 09/01/2020","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2020 - 01/01/2021","Thursday 09/01/2020","BZN|FR","BZN|IT-North","2995.0"
"01/01/2020 - 01/01/2021","Thursday 09/01/2020","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2020 - 01/01/2021","Thursday 09/01/2020","BZN|FR","BZN|DE-LU","1500.0"
"01/01/2020 - 01/01/2021","Thursday 09/01/2020","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2020 - 01/01/2021","Thursday 09/01/2020","BZN|FR","BZN|BE","2000.0"
"01/01/2020 - 01/01/2021","Thursday 09/01/2020","BZN|FR","BZN|CH","2615.0"
"01/01/2020 - 01/01/2021","Thursday 09/01/2020","BZN|FR","BZN|ES","3000.0"
"01/01/2020 - 01/01/2021","Thursday 09/01/2020","BZN|FR","BZN|GB","2000.0"
"01/01/2020 - 01/01/2021","Thursday 09/01/2020","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2020 - 01/01/2021","Thursday 09/01/2020","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2020 - 01/01/2021","Thursday 09/01/2020","BZN|GB","BZN|FR","2000.0"
"01/01/2020 - 01/01/2021","Thursday 09/01/2020","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Thursday 09/01/2020","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Friday 10/01/2020","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Friday 10/01/2020","BZN|IT-North","BZN|FR","1160.0"
"01/01/2020 - 01/01/2021","Friday 10/01/2020","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Friday 10/01/2020","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2020 - 01/01/2021","Friday 10/01/2020","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Friday 10/01/2020","BZN|BE","BZN|FR","800.0"
"01/01/2020 - 01/01/2021","Friday 10/01/2020","BZN|CH","BZN|FR","1200.0"
"01/01/2020 - 01/01/2021","Friday 10/01/2020","BZN|ES","BZN|FR","2400.0"
"01/01/2020 - 01/01/2021","Friday 10/01/2020","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2020 - 01/01/2021","Friday 10/01/2020","BZN|FR","BZN|IT-North","2948.0"
"01/01/2020 - 01/01/2021","Friday 10/01/2020","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2020 - 01/01/2021","Friday 10/01/2020","BZN|FR","BZN|DE-LU","1500.0"
"01/01/2020 - 01/01/2021","Friday 10/01/2020","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2020 - 01/01/2021","Friday 10/01/2020","BZN|FR","BZN|BE","2000.0"
"01/01/2020 - 01/01/2021","Friday 10/01/2020","BZN|FR","BZN|CH","2615.0"
"01/01/2020 - 01/01/2021","Friday 10/01/2020","BZN|FR","BZN|ES","3000.0"
"01/01/2020 - 01/01/2021","Friday 10/01/2020","BZN|FR","BZN|GB","2000.0"
"01/01/2020 - 01/01/2021","Friday 10/01/2020","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2020 - 01/01/2021","Friday 10/01/2020","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2020 - 01/01/2021","Friday 10/01/2020","BZN|GB","BZN|FR","2000.0"
"01/01/2020 - 01/01/2021","Friday 10/01/2020","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Friday 10/01/2020","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Saturday 11/01/2020","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Saturday 11/01/2020","BZN|IT-North","BZN|FR","995.0"
"01/01/2020 - 01/01/2021","Saturday 11/01/2020","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Saturday 11/01/2020","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2020 - 01/01/2021","Saturday 11/01/2020","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2020 - 01/01/2021","Saturday 11/01/2020","BZN|BE","BZN|FR","800.0"
