"Time Interval","Day","Out Area","In Area","Capacity (MW)"
"01/01/2019 - 01/01/2020","Wednesday 02/01/2019","BZN|FR","BZN|IT-North","2995.0"
"01/01/2019 - 01/01/2020","Wednesday 02/01/2019","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2019 - 01/01/2020","Wednesday 02/01/2019","BZN|FR","BZN|DE-LU","3500.0"
"01/01/2019 - 01/01/2020","Wednesday 02/01/2019","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2019 - 01/01/2020","Wednesday 02/01/2019","BZN|FR","BZN|BE","2300.0"
"01/01/2019 - 01/01/2020","Wednesday 02/01/2019","BZN|FR","BZN|CH","3700.0"
"01/01/2019 - 01/01/2020","Wednesday 02/01/2019","BZN|FR","BZN|ES","2400.0"
"01/01/2019 - 01/01/2020","Wednesday 02/01/2019","BZN|FR","BZN|GB","2000.0"
"01/01/2019 - 01/01/2020","Wednesday 02/01/2019","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2019 - 01/01/2020","Wednesday 02/01/2019","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2019 - 01/01/2020","Wednesday 02/01/2019","BZN|GB","BZN|FR","2000.0"
"01/01/2019 - 01/01/2020","Wednesday 02/01/2019","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Wednesday 02/01/2019","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Thursday 03/01/2019","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Thursday 03/01/2019","BZN|IT-North","BZN|FR","995.0"
"01/01/2019 - 01/01/2020","Thursday 03/01/2019","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Thursday 03/01/2019","BZN|DE-LU","BZN|FR","2200.0"
"01/01/2019 - 01/01/2020","Thursday 03/01/2019","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Thursday 03/01/2019","BZN|BE","BZN|FR","800.0"
"01/01/2019 - 01/01/2020","Thursday 03/01/2019","BZN|CH","BZN|FR","1800.0"
"01/01/2019 - 01/01/2020","Thursday 03/01/2019","BZN|ES","BZN|FR","2000.0"
"01/01/2019 - 01/01/2020","Thursday 03/01/2019","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2019 - 01/01/2020","Thursday 03/01/2019","BZN|FR","BZN|IT-North","2801.0"
"01/01/2019 - 01/01/2020","Thursday 03/01/2019","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2019 - 01/01/2020","Thursday 03/01/2019","BZN|FR","BZN|DE-LU","3500.0"
"01/01/2019 - 01/01/2020","Thursday 03/01/2019","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2019 - 01/01/2020","Thursday 03/01/2019","BZN|FR","BZN|BE","2300.0"
"01/01/2019 - 01/01/2020","Thursday 03/01/2019","BZN|FR","BZN|CH","3700.0"
"01/01/2019 - 01/01/2020","Thursday 03/01/2019","BZN|FR","BZN|ES","2400.0"
"01/01/2019 - 01/01/2020","Thursday 03/01/2019","BZN|FR","BZN|GB","2000.0"
"01/01/2019 - 01/01/2020","Thursday 03/01/2019","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2019 - 01/01/2020","Thursday 03/01/2019","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2019 - 01/01/2020","Thursday 03/01/2019","BZN|GB","BZN|FR","2000.0"
"01/01/2019 - 01/01/2020","Thursday 03/01/2019","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Thursday 03/01/2019","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Friday 04/01/2019","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Friday 04/01/2019","BZN|IT-North","BZN|FR","995.0"
"01/01/2019 - 01/01/2020","Friday 04/01/2019","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Friday 04/01/2019","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2019 - 01/01/2020","Friday 04/01/2019","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Friday 04/01/2019","BZN|BE","BZN|FR","800.0"
"01/01/2019 - 01/01/2020","Friday 04/01/2019","BZN|CH","BZN|FR","1200.0"
"01/01/2019 - 01/01/2020","Friday 04/01/2019","BZN|ES","BZN|FR","1950.0"
"01/01/2019 - 01/01/2020","Friday 04/01/2019","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2019 - 01/01/2020","Friday 04/01/2019","BZN|FR","BZN|IT-North","2241.0"
"01/01/2019 - 01/01/2020","Friday 04/01/2019","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2019 - 01/01/2020","Friday 04/01/2019","BZN|FR","BZN|DE-LU","1500.0"
"01/01/2019 - 01/01/2020","Friday 04/01/2019","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2019 - 01/01/2020","Friday 04/01/2019","BZN|FR","BZN|BE","2300.0"
"01/01/2019 - 01/01/2020","Friday 04/01/2019","BZN|FR","BZN|CH","3000.0"
"01/01/2019 - 01/01/2020","Friday 04/01/2019","BZN|FR","BZN|ES","2000.0"
"01/01/2019 - 01/01/2020","Friday 04/01/2019","BZN|FR","BZN|GB","2000.0"
"01/01/2019 - 01/01/2020","Friday 04/01/2019","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2019 - 01/01/2020","Friday 04/01/2019","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2019 - 01/01/2020","Friday 04/01/2019","BZN|GB","BZN|FR","2000.0"
"01/01/2019 - 01/01/2020","Friday 04/01/2019","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Friday 04/01/2019","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Saturday 05/01/2019","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Saturday 05/01/2019","BZN|IT-North","BZN|FR","1160.0"
"01/01/2019 - 01/01/2020","Saturday 05/01/2019","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Saturday 05/01/2019","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2019 - 01/01/2020","Saturday 05/01/2019","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Saturday 05/01/2019","BZN|BE","BZN|FR","800.0"
"01/01/2019 - 01/01/2020","Saturday 05/01/2019","BZN|CH","BZN|FR","1200.0"
"01/01/2019 - 01/01/2020","Saturday 05/01/2019","BZN|ES","BZN|FR","1950.0"
"01/01/2019 - 01/01/2020","Saturday 05/01/2019","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2019 - 01/01/2020","Saturday 05/01/2019","BZN|FR","BZN|IT-North","1867.0"
"01/01/2019 - 01/01/2020","Saturday 05/01/2019","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2019 - 01/01/2020","Saturday 05/01/2019","BZN|FR","BZN|DE-LU","1500.0"
"01/01/2019 - 01/01/2020","Saturday 05/01/2019","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2019 - 01/01/2020","Saturday 05/01/2019","BZN|FR","BZN|BE","2300.0"
"01/01/2019 - 01/01/2020","Saturday 05/01/2019","BZN|FR","BZN|CH","3000.0"
"01/01/2019 - 01/01/2020","Saturday 05/01/2019","BZN|FR","BZN|ES","2000.0"
"01/01/2019 - 01/01/2020","Saturday 05/01/2019","BZN|FR","BZN|GB","2000.0"
"01/01/2019 - 01/01/2020","Saturday 05/01/2019","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2019 - 01/01/2020","Saturday 05/01/2019","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2019 - 01/01/2020","Saturday 05/01/2019","BZN|GB","BZN|FR","2000.0"
"01/01/2019 - 01/01/2020","Saturday 05/01/2019","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Saturday 05/01/2019","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Sunday 06/01/2019","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Sunday 06/01/2019","BZN|IT-North","BZN|FR","995.0"
"01/01/2019 - 01/01/2020","Sunday 06/01/2019","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Sunday 06/01/2019","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2019 - 01/01/2020","Sunday 06/01/2019","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Sunday 06/01/2019","BZN|BE","BZN|FR","800.0"
"01/01/2019 - 01/01/2020","Sunday 06/01/2019","BZN|CH","BZN|FR","1800.0"
"01/01/2019 - 01/01/2020","Sunday 06/01/2019","BZN|ES","BZN|FR","2300.0"
"01/01/2019 - 01/01/2020","Sunday 06/01/2019","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2019 - 01/01/2020","Sunday 06/01/2019","BZN|FR","BZN|IT-North","2241.0"
"01/01/2019 - 01/01/2020","Sunday 06/01/2019","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2019 - 01/01/2020","Sunday 06/01/2019","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2019 - 01/01/2020","Sunday 06/01/2019","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2019 - 01/01/2020","Sunday 06/01/2019","BZN|FR","BZN|BE","2300.0"
"01/01/2019 - 01/01/2020","Sunday 06/01/2019","BZN|FR","BZN|CH","3700.0"
"01/01/2019 - 01/01/2020","Sunday 06/01/2019","BZN|FR","BZN|ES","2050.0"
"01/01/2019 - 01/01/2020","Sunday 06/01/2019","BZN|FR","BZN|GB","2000.0"
"01/01/2019 - 01/01/2020","Sunday 06/01/2019","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2019 - 01/01/2020","Sunday 06/01/2019","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2019 - 01/01/2020","Sunday 06/01/2019","BZN|GB","BZN|FR","2000.0"
"01/01/2019 - 01/01/2020","Sunday 06/01/2019","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Sunday 06/01/2019","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Monday 07/01/2019","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Monday 07/01/2019","BZN|IT-North","BZN|FR","995.0"
"01/01/2019 - 01/01/2020","Monday 07/01/2019","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Monday 07/01/2019","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2019 - 01/01/2020","Monday 07/01/2019","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Monday 07/01/2019","BZN|BE","BZN|FR","800.0"
"01/01/2019 - 01/01/2020","Monday 07/01/2019","BZN|CH","BZN|FR","1800.0"
"01/01/2019 - 01/01/2020","Monday 07/01/2019","BZN|ES","BZN|FR","2300.0"
"01/01/2019 - 01/01/2020","Monday 07/01/2019","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2019 - 01/01/2020","Monday 07/01/2019","BZN|FR","BZN|IT-North","2995.0"
"01/01/2019 - 01/01/2020","Monday 07/01/2019","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2019 - 01/01/2020","Monday 07/01/2019","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2019 - 01/01/2020","Monday 07/01/2019","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2019 - 01/01/2020","Monday 07/01/2019","BZN|FR","BZN|BE","2300.0"
"01/01/2019 - 01/01/2020","Monday 07/01/2019","BZN|FR","BZN|CH","3700.0"
"01/01/2019 - 01/01/2020","Monday 07/01/2019","BZN|FR","BZN|ES","2050.0"
"01/01/2019 - 01/01/2020","Monday 07/01/2019","BZN|FR","BZN|GB","2000.0"
"01/01/2019 - 01/01/2020","Monday 07/01/2019","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2019 - 01/01/2020","Monday 07/01/2019","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2019 - 01/01/2020","Monday 07/01/2019","BZN|GB","BZN|FR","2000.0"
"01/01/2019 - 01/01/2020","Monday 07/01/2019","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Monday 07/01/2019","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Tuesday 08/01/2019","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Tuesday 08/01/2019","BZN|IT-North","BZN|FR","995.0"
"01/01/2019 - 01/01/2020","Tuesday 08/01/2019","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Tuesday 08/01/2019","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2019 - 01/01/2020","Tuesday 08/01/2019","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Tuesday 08/01/2019","BZN|BE","BZN|FR","800.0"
