"Time Interval","Day","Out Area","In Area","Capacity (MW)"
"01/01/2022 - 01/01/2023","Wednesday 29/12/2021","BZN|FR","BZN|IT-North","1847.0"
"01/01/2022 - 01/01/2023","Wednesday 29/12/2021","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2022 - 01/01/2023","Wednesday 29/12/2021","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2022 - 01/01/2023","Wednesday 29/12/2021","BZN|FR","BZN|GB(IFA)","0.0"
"01/01/2022 - 01/01/2023","Wednesday 29/12/2021","BZN|FR","BZN|BE","2200.0"
"01/01/2022 - 01/01/2023","Wednesday 29/12/2021","BZN|FR","BZN|CH","3200.0"
"01/01/2022 - 01/01/2023","Wednesday 29/12/2021","BZN|FR","BZN|ES","2500.0"
"01/01/2022 - 01/01/2023","Wednesday 29/12/2021","BZN|FR","BZN|GB","0.0"
"01/01/2022 - 01/01/2023","Wednesday 29/12/2021","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2022 - 01/01/2023","Wednesday 29/12/2021","BZN|FR","BZN|GB(IFA2)","0.0"
"01/01/2022 - 01/01/2023","Wednesday 29/12/2021","BZN|GB","BZN|FR","0.0"
"01/01/2022 - 01/01/2023","Wednesday 29/12/2021","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2022 - 01/01/2023","Wednesday 29/12/2021","BZN|GB(IFA2)","BZN|FR","0.0"
"01/01/2022 - 01/01/2023","Thursday 30/12/2021","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2022 - 01/01/2023","Thursday 30/12/2021","BZN|IT-North","BZN|FR","995.0"
"01/01/2022 - 01/01/2023","Thursday 30/12/2021","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2022 - 01/01/2023","Thursday 30/12/2021","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2022 - 01/01/2023","Thursday 30/12/2021","BZN|GB(IFA)","BZN|FR","1000.0"
"01/01/2022 - 01/01/2023","Thursday 30/12/2021","BZN|BE","BZN|FR","600.0"
"01/01/2022 - 01/01/2023","Thursday 30/12/2021","BZN|CH","BZN|FR","1900.0"
"01/01/2022 - 01/01/2023","Thursday 30/12/2021","BZN|ES","BZN|FR","2250.0"
"01/01/2022 - 01/01/2023","Thursday 30/12/2021","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2022 - 01/01/2023","Thursday 30/12/2021","BZN|FR","BZN|IT-North","2033.0"
"01/01/2022 - 01/01/2023","Thursday 30/12/2021","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2022 - 01/01/2023","Thursday 30/12/2021","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2022 - 01/01/2023","Thursday 30/12/2021","BZN|FR","BZN|GB(IFA)","1000.0"
"01/01/2022 - 01/01/2023","Thursday 30/12/2021","BZN|FR","BZN|BE","2200.0"
"01/01/2022 - 01/01/2023","Thursday 30/12/2021","BZN|FR","BZN|CH","3200.0"
"01/01/2022 - 01/01/2023","Thursday 30/12/2021","BZN|FR","BZN|ES","2500.0"
"01/01/2022 - 01/01/2023","Thursday 30/12/2021","BZN|FR","BZN|GB","2014.0"
"01/01/2022 - 01/01/2023","Thursday 30/12/2021","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2022 - 01/01/2023","Thursday 30/12/2021","BZN|FR","BZN|GB(IFA2)","1014.0"
"01/01/2022 - 01/01/2023","Thursday 30/12/2021","BZN|GB","BZN|FR","2014.0"
"01/01/2022 - 01/01/2023","Thursday 30/12/2021","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2022 - 01/01/2023","Thursday 30/12/2021","BZN|GB(IFA2)","BZN|FR","1014.0"
"01/01/2022 - 01/01/2023","Friday 31/12/2021","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2022 - 01/01/2023","Friday 31/12/2021","BZN|IT-North","BZN|FR","995.0"
"01/01/2022 - 01/01/2023","Friday 31/12/2021","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2022 - 01/01/2023","Friday 31/12/2021","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2022 - 01/01/2023","Friday 31/12/2021","BZN|GB(IFA)","BZN|FR","1000.0"
"01/01/2022 - 01/01/2023","Friday 31/12/2021","BZN|BE","BZN|FR","600.0"
"01/01/2022 - 01/01/2023","Friday 31/12/2021","BZN|CH","BZN|FR","1900.0"
"01/01/2022 - 01/01/2023","Friday 31/12/2021","BZN|ES","BZN|FR","2250.0"
"01/01/2022 - 01/01/2023","Friday 31/12/2021","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2022 - 01/01/2023","Friday 31/12/2021","BZN|FR","BZN|IT-North","2033.0"
"01/01/2022 - 01/01/2023","Friday 31/12/2021","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2022 - 01/01/2023","Friday 31/12/2021","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2022 - 01/01/2023","Friday 31/12/2021","BZN|FR","BZN|GB(IFA)","1000.0"
"01/01/2022 - 01/01/2023","Friday 31/12/2021","BZN|FR","BZN|BE","2200.0"
"01/01/2022 - 01/01/2023","Friday 31/12/2021","BZN|FR","BZN|CH","3200.0"
"01/01/2022 - 01/01/2023","Friday 31/12/2021","BZN|FR","BZN|ES","2500.0"
"01/01/2022 - 01/01/2023","Friday 31/12/2021","BZN|FR","BZN|GB","2014.0"
"01/01/2022 - 01/01/2023","Friday 31/12/2021","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2022 - 01/01/2023","Friday 31/12/2021","BZN|FR","BZN|GB(IFA2)","1014.0"
"01/01/2022 - 01/01/2023","Friday 31/12/2021","BZN|GB","BZN|FR","2014.0"
"01/01/2022 - 01/01/2023","Friday 31/12/2021","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2022 - 01/01/2023","Friday 31/12/2021","BZN|GB(IFA2)","BZN|FR","1014.0"
"01/01/2022 - 01/01/2023","Saturday 01/01/2022","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2022 - 01/01/2023","Saturday 01/01/2022","BZN|IT-North","BZN|FR","1160.0"
"01/01/2022 - 01/01/2023","Saturday 01/01/2022","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2022 - 01/01/2023","Saturday 01/01/2022","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2022 - 01/01/2023","Saturday 01/01/2022","BZN|GB(IFA)","BZN|FR","1000.0"
